family,n,p,load,giant_fraction,component_fraction,susceptibility,spanning_probability,relief_exhaustion,agreement,terrynce_score,terrynce_gradient,giant_gradient
square_bond,24,0.7,0.7,0.98095703125,0.015299479166666666,1.90882007596162,1.0,0.9847005208333334,0.7152994791666666,0.4930490387810601,1.3708898186389333,0.10579427083333139
square_bond,24,0.71,0.71,0.9810112847222222,0.015082465277777778,2.08885829665681,1.0,0.9849175347222222,0.7250824652777778,0.5070439682619071,1.411877856784398,-0.010850694444441967
square_bond,24,0.72,0.72,0.9807400173611112,0.01513671875,2.113815677786266,1.0,0.98486328125,0.73513671875,0.5212865959167481,1.4057159491527236,0.18174913194444736
square_bond,24,0.73,0.73,0.9846462673611112,0.011990017361111112,2.061688252354371,1.0,0.9880099826388888,0.7419900173611111,0.5351582872449616,1.4051210624788966,0.39876302083333115
square_bond,24,0.74,0.74,0.9887152777777778,0.009657118055555556,1.8979777167277168,1.0,0.9903428819444444,0.7496571180555556,0.549389017166326,1.4508331438935804,0.24685329861111027
square_bond,24,0.75,0.75,0.9895833333333334,0.00927734375,1.662740904928405,1.0,0.99072265625,0.75927734375,0.5641749501228333,nan,nan
square_bond,32,0.35,0.35,0.045928955078125,0.33514404296875,9.038806095444953,0.0,0.66485595703125,0.68514404296875,0.15943273443728684,nan,nan
square_bond,32,0.36,0.36,0.0535888671875,0.3245849609375,9.529084485363107,0.0,0.6754150390625,0.6845849609375,0.16645643212795255,0.7076271001808334,0.5874633789062494
square_bond,32,0.37,0.37,0.05767822265625,0.306304931640625,11.354586825091397,0.0,0.693695068359375,0.676304931640625,0.17358527644090352,0.7093416302278646,0.7186889648437493
square_bond,32,0.38,0.38,0.067962646484375,0.283111572265625,12.810908175403153,0.0,0.716888427734375,0.663111572265625,0.18064326473250986,0.7202603621408351,0.9933471679687491
square_bond,32,0.39,0.39,0.077545166015625,0.273406982421875,14.831055571947449,0.0,0.726593017578125,0.663406982421875,0.18799048368372023,0.7256810177490116,1.0650634765624991
square_bond,32,0.4,0.4,0.089263916015625,0.25408935546875,17.935495469563485,0.0,0.74591064453125,0.65408935546875,0.1951568850874901,0.736015067659318,0.8789062500000017
square_bond,32,0.41,0.41,0.095123291015625,0.243927001953125,17.9707998884079,0.0,0.756072998046875,0.6539270019531249,0.20271078503690657,0.7481580037996164,0.8148193359375016
square_bond,32,0.42,0.42,0.105560302734375,0.228240966796875,21.67033307018564,0.0,0.771759033203125,0.6482409667968749,0.2101200451634824,0.7435297356173384,1.7745971679687484
square_bond,32,0.43,0.43,0.130615234375,0.212738037109375,22.433937457250135,0.0,0.787261962890625,0.6427380371093749,0.21758137974925335,0.732019829936325,3.0593872070312473
square_bond,32,0.44,0.44,0.166748046875,0.19293212890625,30.880207356542638,0.0625,0.80706787109375,0.63293212890625,0.2247604417622089,0.7681879438273608,2.0050048828124982
square_bond,32,0.45,0.45,0.17071533203125,0.18572998046875,32.20646846330772,0.03125,0.81427001953125,0.63572998046875,0.23294513862580057,0.7890203136578212,1.8096923828124984
square_bond,32,0.46,0.46,0.20294189453125,0.170074462890625,38.701239202843574,0.125,0.829925537109375,0.630074462890625,0.24054084803536535,0.8061361252702793,2.8305053710937553
square_bond,32,0.47,0.47,0.227325439453125,0.163543701171875,40.68899613830008,0.25,0.836456298828125,0.633543701171875,0.24906786113120613,0.8067632403597246,4.440307617187508
square_bond,32,0.48,0.48,0.291748046875,0.1466064453125,44.99310360250868,0.34375,0.8533935546875,0.6266064453125,0.2566761128425598,0.766595410816371,8.941650390624993
square_bond,32,0.49,0.49,0.406158447265625,0.130767822265625,43.211981245659494,0.625,0.869232177734375,0.620767822265625,0.26439976934753356,0.8013882869482035,9.226989746093741
square_bond,32,0.5,0.5,0.476287841796875,0.1192626953125,53.65527218720923,0.8125,0.8807373046875,0.6192626953125,0.2727038785815239,0.8529096610285356,5.261230468749996
square_bond,32,0.51,0.51,0.511383056640625,0.11029052734375,49.120022808178284,0.8125,0.88970947265625,0.62029052734375,0.2814579625681043,0.8637013095617311,4.4830322265624964
square_bond,32,0.52,0.52,0.565948486328125,0.0987548828125,48.96424457601209,0.8125,0.9012451171875,0.6187548828125,0.28997790477275853,0.908674083575605,7.170104980468744
square_bond,32,0.53,0.53,0.65478515625,0.093994140625,43.11496991978673,0.9375,0.906005859375,0.623994140625,0.2996314442396164,0.9492840384319403,6.454467773437495
square_bond,32,0.54,0.54,0.695037841796875,0.085968017578125,33.69483678438533,0.90625,0.914031982421875,0.625968017578125,0.30896358554139736,0.9167142167873696,5.789184570312495
square_bond,32,0.55,0.55,0.77056884765625,0.074981689453125,30.70895629567488,1.0,0.925018310546875,0.624981689453125,0.3179657285753638,0.9403102853521713,6.089782714843745
